ORF ID	Gene Name	Class(1:essential 2:nonessential 3:unknown)	Alternative Name	Map Position	Start(BP)	End(BP)	Length	Direction(0:+ 1:-)	Ncbi ID	Product	Swissprot Acc No	Note
10	yaaH	2	b0010   ECK0010   JW0009	0.2139810025691986	9   928	10   494	567	1	1786191	inner membrane protein    Grp1_Fun34_YaaH family	P28695; Q8KMY2;   Q8FLC8;	
4	gprB	2		0.2199999988079071	10   206	10   206	0	0				
11	yaaW	2	b0011   b0012   ECK0011   f237   htgA   htpY   JW0010	0.22939099371433258	10   643	11   356	714	1	1786193	conserved protein    UPF0174 family	P28697;   Q8XA70;	
13	yaaI	2	b0013   ECK0013   JW0012	0.24531899392604828	11   382	11   786	405	1	1786195	conserved protein    UPF0412 family	P28696;   Q8CWE7;   Q8XA68;	
14	dnaK	2	b0014   ECK0014   gro   groP   groPAB   groPC   groPF   grpC   grpF   JW0013   seg	0.2621519863605499	12   163	14   079	1   917	0	1786196	chaperone Hsp70    co-chaperone with DnaJ	P03005;   P04475;   P08622;	chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006457 - protein folding; GO_process: GO:0006970 - response to osmotic stress
5	gprA	2		0.30000001192092896	13   918	13   918	0	0				
15	dnaJ	2	b0015   ECK0015   faa   groA   groB   groC   groP   grpC   JW0014	0.30536600947380066	14   168	15   298	1   131	0	1786197	chaperone Hsp40    co-chaperone with DnaK	P03005;   P04475;   P08622;   Q8FLC5;   Q8XA65;	chaperone with DnaK; heat shock protein; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006457 - protein folding
10000	insL1	2	b0016   ECK0016   insL	0.33289000391960144	15   445	16   557	1   113	0	1786198	IS186 transposase		
18	hokC	2	b0018   b4412   ECK0018   f69   gef   JW5879   mokC	0.3610379993915558	16   751	16   903	153	1	48994874	toxic membrane protein    small	P22982; P75618;   P33236;   Q8XA64;	small toxic membrane polypeptide
10001	mokC	2	b0018   ECK4466   gefL   hokC	0.3610379993915558	16   751	16   960	210	1	1786200	regulatory protein for HokC    overlaps CDS of hokC		regulatory peptide whose translation enables hokC (gef) expression
10002	sokC	2	b4413   ECK0019   JWR0224   sof	0.3653700053691864	16   952	17   006	55	0		sRNA antisense regulator blocking mokC    and hence hokC    translation		IS186A interrupts hokC transcript downstream of hokC gene in K-12
19	nhaA	2	ant   antA   b0019   ECK0020   JW0018	0.37694498896598816	17   489	18   655	1   167	0	1786201	sodium-proton antiporter	P13738;   Q8FLC1;   Q8XA63;	Na+/H antiporter    pH dependent; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009268 - response to pH
3	103	-1		0.38999998569488525	18   548	38   428	19   881	-1				
20	nhaR	2	antO   b0020   ECK0021   JW0019   yaaB	0.4033690094947815	18   715	19   620	906	0	1786202	DNA-binding transcriptional activator	P10087; P75619; Q47409; Q83SR2;   Q8FLC0;   Q8X4Y0;	transcriptional activator of nhaA; GO_component: GO:0005737 - cytoplasm; GO_function: GO:0016563 - transcription activator activity; GO_process: GO:0006350 - transcription; GO_process: GO:0009268 - response to pH
10003	insB1	2	b0021   ECK0022   insB	0.42699098587036133	19   811	20   314	504	1	1786203	IS1 transposase B		
10004	insA	2	b0022   ECK0023	0.4360870122909546	20   233	20   508	276	1	1786204	IS1 repressor TnpA		
24	rpsT	2	b0023   ECK0024   JW0022   sup	0.4486309885978699	20   815	21   078	264	1	1786206	30S ribosomal subunit protein S20	P02378;	GO_component: GO:0005737 - cytoplasm; GO_function: GO:0003735 - structural constituent of ribosome; GO_process: GO:0006412 - translation
26	yaaY	2	b0024   ECK0025   JW5003   o72	0.4565190076828003	21   181	21   399	219	0	1786207	hypothetical protein	P75620;	
25	ribF	1	b0025   ECK0026   JW0023   o312   yaaC	0.4613899886608124	21   407	22   348	942	0	1786208	bifunctional riboflavin kinase/FAD synthetase	P08391; P75621;	GO_component: GO:0005737 - cytoplasm
27	ileS	1	b0026   ECK0027   ilvS   JW0024	0.4825980067253113	22   391	25   207	2   817	0	2367096	isoleucyl-tRNA synthetase	P00956; P78038; Q59429;   Q8FLB7;   Q8XA49;	isoleucine tRNA synthetase; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006418 - tRNA aminoacylation for protein translation
28	lspA	1	b0027   ECK0028   JW0025	0.5432919859886169	25   207	25   701	495	0	1786210	prolipoprotein signal peptidase (signal peptidase II)	P00804;   Q8FLB6;   Q8XA48;	prolipoprotein signal peptidase (SPase II); GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane
29	fkpB	2	b0028   ECK0029   JW0026   slpA   yaaD	0.5566340088844299	25   826	26   275	450	0	1786211	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	P22563;   P32053;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006457 - protein folding
30	ispH	1	b0029   ECK0030   JW0027   lytB   yaaE	0.566353976726532	26   277	27   227	951	0	1786212	4-hydroxy-3-methylbut-2-enyl diphosphate reductase    4Fe-4S protein	P62623; P22565;   P62624; P22565;   P62625; P22565;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0042493 - response to drug
31	rihC	2	b0030   ECK0031   JW0028   yaaF	0.5882520079612732	27   293	28   207	915	0	1786213	ribonucleoside hydrolase 3	P22564;   Q8XA41;	GO_process: GO:0009226 - nucleotide-sugar biosynthetic process
7	tolI	2		0.6000000238418579	27   835	27   835	0	0				
32	dapB	1	b0031   ECK0032   JW0029	0.6115509867668152	28   374	29   195	822	0	1786214	dihydrodipicolinate reductase	P04036;   P58209;   Q8FLB4;	GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009089 - lysine biosynthetic process via diaminopimelate
33	carA	2	arg   arg+ura   b0032   cap   ECK0033   JW0030   pyrA	0.639074981212616	29   651	30   799	1   149	0	1786215	carbamoyl phosphate synthetase small subunit    glutamine amidotransferase	P00907;   P00968;   Q8FLB1;	GO_process: GO:0006526 - arginine biosynthetic process; GO_process: GO:0006221 - pyrimidine nucleotide biosynthetic process
34	carB	2	arg+ura   b0033   cap   ECK0034   JW0031   pyrA	0.6642060279846191	30   817	34   038	3   222	0	1786216	carbamoyl-phosphate synthase large subunit	P00907;   P00968;   P46145;   Q8FLB0;   Q8XA38;	GO_process: GO:0006526 - arginine biosynthetic process; GO_process: GO:0006221 - pyrimidine nucleotide biosynthetic process
9	rimG	2		0.699999988079071	32   475	32   475	0	0				
35	caiF	2	b0034   ECK0035   JW0033	0.7392759919166565	34   300	34   695	396	0	87081680	DNA-binding transcriptional activator	Q47081; P75622;   Q8FLA8;	transcriptional regulator of cai operon; GO_component: GO:0005737 - cytoplasm; GO_function: GO:0016563 - transcription activator activity; GO_process: GO:0009310 - amine catabolic process; GO_process: GO:0006350 - transcription
36	caiE	2	b0035   ECK0036   JW5004	0.7496430277824402	34   781	35   371	591	1	87081681	stimulator of CaiD and CaiB enzyme activities	P39206;   Q8FLA7;   Q8XA36;	possible synthesis of cofactor for carnitine racemase and dehydratase; GO_process: GO:0009310 - amine catabolic process; GO_process: GO:0042413 - carnitine catabolic process
37	caiD	2	b0036   ECK0037   JW0035   yaaL	0.7624890208244324	35   377	36   162	786	1	221142681	carnitinyl-CoA dehydratase	P31551; P75623;   Q8FLA6;   Q8XA35;	carnitine racemase; GO_process: GO:0009310 - amine catabolic process; GO_process: GO:0042413 - carnitine catabolic process
4	104	-1		0.7599999904632568	35   533	53   520	17   988	-1				
38	caiC	2	b0037   ECK0038   JW0036   yaaM	0.7817569971084595	36   271	37   824	1   554	1	221142682	putative crotonobetaine/carnitine-CoA ligase	P31552;   Q8FLA5;   Q8XA34;	probable crotonobetaine/carnitine-CoA ligase; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009310 - amine catabolic process
39	caiB	2	b0038   ECK0039   JW0037   yaaN	0.8168240189552307	37   898	39   115	1   218	1	1786222	crotonobetainyl CoA:carnitine CoA transferase	P31572;   Q8FLA4;   Q8XA32;	l-carnitine dehydratase; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0042413 - carnitine catabolic process; GO_process: GO:0009310 - amine catabolic process
5	105	-1		0.8399999737739563	38   987	54   310	15   324	-1				
40	caiA	2	b0039   ECK0040   JW0038   yaaO	0.8458349704742432	39   244	40   386	1   143	1	1786223	crotonobetaine reductase subunit II    FAD-binding	P60584; P31571;   P60585; P31571;   P60586; P31571;	probable carnitine operon oxidoreductase; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006097 - glyoxylate cycle; GO_process: GO:0009310 - amine catabolic process; GO_process: GO:0042413 - carnitine catabolic process
41	caiT	2	b0040   ECK0041   JW0039   yaaP	0.8711169958114624	40   417	41   931	1   515	1	1786224	putative transporter	P31553; P75624;   P59333;   Q8XA30;	probable carnitine transporter; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0016052 - carbohydrate catabolic process
12	mafA	2		0.9100000262260437	42   217	42   217	0	0				
42	fixA	2	b0041   ECK0042   JW0040   yaaQ	0.9139220118522644	42   403	43   173	771	0	87081682	putative electron transfer flavoprotein subunit    required for anaerobic carnitine reduction	P60566; P31573; P75625; P76901; Q8XA29;   P60567; P31573; P75625; P76901; Q8XA29;   Q8FLA3;	probable flavoprotein subunit    carnitine metabolism; GO_process: GO:0016052 - carbohydrate catabolic process
43	fixB	2	b0042   ECK0043   JW0041   yaaR	0.9308410286903381	43   188	44   129	942	0	1786226	putative electron transfer flavoprotein   NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	P31574;   P59674;   Q8XA27;	probable flavoprotein subunit    carnitine metabolism; GO_process: GO:0016052 - carbohydrate catabolic process
44	fixC	2	b0043   ECK0044   JW0042   yaaS	0.9522219896316528	44   180	45   466	1   287	0	1786227	putative oxidoreductase with FAD/NAD(P)-binding domain	P31575; P75626;   Q8XA26;	flavoprotein; electron transport; GO_process: GO:0042413 - carnitine catabolic process
45	fixX	2	b0044   ECK0045   JW0043   yaaT	0.9798750281333923	45   463	45   750	288	0	1786228	putative 4Fe-4S ferredoxin-type protein	P31576; P75627;	putative ferredoxin; GO_process: GO:0042413 - carnitine catabolic process
46	yaaU	2	b0045   ECK0046   JW0044   o443   yabE	0.9872890114784241	45   807	47   138	1   332	0	1786229	putative transporter	P31679; P31578; P75628;   Q8FLA2;   Q8XA25;	putative transport protein; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane
47	kefF	2	b0046   ECK0047   JW0045   yabF	1.0183000564575195	47   246	47   776	531	0	1786231	potassium-efflux system ancillary protein for KefC    glutathione-regulated; quinone oxidoreductase    FMN-dependent	P31577; P75629;   Q8XA24;	putative NAD(P)H oxidoreductase
48	kefC	2	b0047   ECK0048   JW0046   trkC	1.029579997062683	47   769	49   631	1   863	0	1786232	potassium:proton antiporter	P03819;   Q8FLA1;   Q8XA20;	K+ efflux antiporter    glutathione-regulated; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_function: GO:0015386 - potassium:hydrogen antiporter activity
49	folA	1	b0048   ECK0049   JW0047   tmrA	1.0738500356674194	49   823	50   302	480	0	1786233	dihydrofolate reductase	P00379;	dihydrofolate reductase type I; trimethoprim resistance; GO_process: GO:0046656 - folic acid biosynthetic process
50	apaH	2	b0049   cfcB   ECK0050   JW0048	1.0858500003814697	50   380	51   222	843	1	1786234	diadenosine tetraphosphatase	P05637; P78039;   Q8FL98;   Q8XA15;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0015949 - nucleobase    nucleoside and nucleotide interconversion
6	106	-1		1.090000033378601	50   992	65   096	14   105	-1				
51	apaG	2	b0050   corD   ECK0051   JW0049   temP	1.1041500568389893	51   229	51   606	378	1	1786235	protein associated with Co2+ and Mg2+ efflux	P62672; P05636;   P62673; P05636;   P62674; P05636;	
52	rsmA	2	b0051   ECK0052   JW0050   ksgA	1.112339973449707	51   609	52   430	822	1	1786236	16S rRNA m(6)A1518    m(6)A1519 dimethyltransferase    SAM-dependent	P06992;   Q8FL96;   Q8XA14;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009451 - RNA modification; GO_process: GO:0042493 - response to drug
53	pdxA	2	b0052   ECK0053   JW0051	1.1299699544906616	52   427	53   416	990	1	1786237	4-hydroxy-L-threonine phosphate dehydrogenase    NAD-dependent	P19624;   P58713;   Q8FL95;	pyridoxine biosynthesis; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0008615 - pyridoxine biosynthetic process
54	surA	2	b0053   ECK0054   JW0052	1.1512900590896606	53   416	54   702	1   287	1	1786238	peptidyl-prolyl cis-trans isomerase (PPIase)	P21202; P75630; Q8KIP6; Q8KMY0;	survival protein; GO_component: GO:0009279 - cell outer membrane; GO_process: GO:0006457 - protein folding
55	lptD	1	b0054   ECK0055   imp   JW0053   ostA   yabG	1.180150032043457	54   755	57   109	2   355	1	1786239	LPS assembly OM complex LptDE    beta-barrel component	P31554; P75631;   Q8CWE6;   Q8XA13;	organic solvent tolerance; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane
14	brnS	2		1.2000000476837158	55   671	55   671	0	0				
56	djlA	2	b0055   ECK0056   JW0054   yabH	1.2363799810409546	57   364	58   179	816	0	1786241	DnaJ-like protein    membrane anchored	P31680;   Q8FL94;   Q8XA12;	GO_process: GO:0006457 - protein folding
57	yabP	2	b0056   b0057   b4659   ECK0057   JW0055   yabQ	1.2603000402450562	58   474	59   269	796	0			P39220; P75632; Q8KJP8;	pseudogene
59	rluA	2	b0058   ECK0059   JW0057   yabO	1.2864500284194946	59   687	60   346	660	1	1786244	dual specificity 23S rRNA pseudouridine(746)    tRNA pseudouridine(32) synthase    SAM-dependent	P39219; Q83MG7;   Q8FL93;   Q8XA10;	GO_process: GO:0009451 - RNA modification
16	ilvJ	2		1.2999999523162842	60   310	60   310	0	0				
60	rapA	2	b0059   ECK0060   hepA   JW0058   yabA	1.3009099960327148	60   358	63   264	2   907	1	1786245	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	P60240; P23852; P75633;   P60241; P23852; P75633;   Q8FL92;	probable ATP-dependent RNA helicase; GO_process: GO:0009451 - RNA modification
7	107	-1		1.3300000429153442	61   738	74   659	12   922	-1				
61	polB	2	b0060   dinA   ECK0061   JW0059	1.3671000003814697	63   429	65   780	2   352	1	1786246	DNA polymerase II	P21189; Q8KMX7; Q8KMX8;   Q8FL91;   Q8XA09;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006261 - DNA-dependent DNA replication; GO_process: GO:0006281 - DNA repair; GO_process: GO:0009314 - response to radiation; GO_process: GO:0009432 - SOS response
62	araD	2	b0061   ECK0062   JW0060	1.4193899631500244	65   855	66   550	696	1	1786247	L-ribulose-5-phosphate 4-epimerase	P08203;   Q8FL90;   Q8XA08;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0016052 - carbohydrate catabolic process
63	araA	2	b0062   ECK0063   JW0061	1.4405100345611572	66   835	68   337	1   503	1	1786248	L-arabinose isomerase	P08202; P78040;   P58538;   Q8FL89;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0016052 - carbohydrate catabolic process
8	108	-1		1.4600000381469727	68   068	82   690	14   623	-1				
64	araB	2	b0063   ECK0064   JW0062	1.4731199741363525	68   348	70   048	1   701	1	1786249	L-ribulokinase	P08204; P78041;   P58541;   Q8FL88;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0016052 - carbohydrate catabolic process
65	araC	2	b0064   ECK0065   JW0063	1.5170700550079346	70   387	71   265	879	0	1786251	DNA-binding transcriptional dual regulator	P03021; Q47056;   Q8CY21;	transcriptional regulator for ara operon; GO_component: GO:0005737 - cytoplasm; GO_function: GO:0016563 - transcription activator activity; GO_function: GO:0016564 - transcription repressor activity; GO_process: GO:0016052 - carbohydrate catabolic process; GO_process: GO:0006350 - transcription
66	yabI	2	b0065   ECK0066   JW5005	1.5378400087356567	71   351	72   115	765	0	1786252	inner membrane protein    SNARE_assoc family	P30149; P75634;   Q8FL83;   Q8XA07;	GO_component: GO:0009274 - peptidoglycan-based cell wall
18	psu	2		1.5399999618530273	71   444	71   444	0	0				
67	thiQ	2	b0066   ECK0067   JW0065   sfuC   yabJ	1.5567699670791626	72   229	72   927	699	1	1786253	thiamin transporter subunit	P31548; P75635;   Q8FL82;   Q8XA06;	putative ATP-binding component of a transport system; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009228 - thiamin biosynthetic process
68	thiP	2	b0067   ECK0068   JW0066   sfuB   yabK	1.571470022201538	72   911	74   521	1   611	1	1786254	fused thiamin transporter subunits of ABC superfamily: membrane components	P31549; P75636;   Q8FL81;   Q8XA05;	GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009228 - thiamin biosynthetic process
19	dadB	2		1.600000023841858	74   228	74   228	0	0				
69	thiB	2	b0068   ECK0069   f327   JW0067   sfuA   tbpA   yabL	1.6056499481201172	74   497	75   480	984	1	1786255	thiamin transporter subunit	P31550; P75637;   Q8CWE5;   Q8XA04;	thiamin-binding periplasmic protein; periplasmic-binding component of ABC superfamily; GO_component: GO:0042597 - periplasmic space; GO_process: GO:0009228 - thiamin biosynthetic process
70	sgrR	2	b0069   ECK0070   JW0068   yabN	1.630370020866394	75   644	77   299	1   656	1	1786256	transcriptional DNA-binding transcriptional activator of sgrS sRNA	P33595; P75638;   Q8FL80;   Q8XA02;	putative transport protein; GO_component: GO:0042597 - periplasmic space
10005	sgrS	2	b4577   ECK0071   JWR0259   ryaA	1.6675100326538086	77   367	77   593	227	0		sRNA antisense regulator destabilzes ptsG mRNA    Hfq-dependent; regulated by sgrR		
10223	sgrT	2	b4662   ECK4477	1.6679600477218628	77   388	77   519	132	0	226510924	Inhibitor of glucose uptake		
71	setA	2	b0070   ECK0072   JW0069   yabM	1.6729799509048462	77   621	78   799	1   179	0	48994875	broad specificity sugar efflux system	P31675; P75639;	GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane;GO_function: GO:0015543 - lactose/glucose efflux transporter activity; GO_process: GO:0016052 - carbohydrate catabolic process
72	leuD	2	b0071   ECK0073   JW0070	1.699429988861084	78   848	79   453	606	1	1786258	3-isopropylmalate dehydratase small subunit	P30126;   Q8FL79;   Q8XA01;	isopropylmalate isomerase subunit; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009098 - leucine biosynthetic process
9	109	-1		1.7000000476837158	79   028	97   288	18   261	-1				
73	leuC	2	b0072   ECK0074   JW0071	1.7127100229263306	79   464	80   864	1   401	1	1786259	3-isopropylmalate dehydratase large subunit	P30127; P78042; Q8FL77;   Q8XA00;	3-isopropylmalate isomerase (dehydratase) subunit; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009098 - leucine biosynthetic process
74	leuB	2	b0073   ECK0075   JW5807	1.7429499626159668	80   867	81   958	1   092	1	87081683	3-isopropylmalate dehydrogenase    NAD(+)-dependent	P30125; P78043;   Q8FL76;   Q8X9Z9;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009098 - leucine biosynthetic process
75	leuA	2	b0074   ECK0076   JW0073	1.7664599418640137	81   958	83   529	1   572	1	1786261	2-isopropylmalate synthase	P09151; P78044;   Q8FL75;   Q8X9Z8;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009098 - leucine biosynthetic process
76	leuL	2	b0075   ECK0077   JW0074   leuLP	1.8023200035095215	83   622	83   708	87	1	1786263	leu operon leader peptide	P09149; Q8VSS2; Q8VSS3;	GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009098 - leucine biosynthetic process
77	leuO	2	b0076   ECK0078   JW0075	1.8184000253677368	84   368	85   312	945	0	87081684	DNA-binding transcriptional activator	P10151; P75640;   Q8FL73;   Q8X9Z7;	probable transcriptional activator for leuABCD operon; GO_component: GO:0005737 - cytoplasm; GO_function: GO:0016563 - transcription activator activity; GO_process: GO:0009098 - leucine biosynthetic process; GO_process: GO:0006350 - transcription
78	ilvI	2	b0077   ECK0079   JW0076   o604	1.8456000089645386	85   630	87   354	1   725	0	87081685	acetolactate synthase III    large subunit	P00893; P78045;   Q8FL71;   Q8X9Z6;	acetolactate synthase III    valine sensitive    large subunit
79	ilvH	2	b0078   brnP   ECK0080   JW0077	1.882830023765564	87   357	87   848	492	0	1786266	acetolactate synthase III    thiamin-dependent    small subunit	P00894; P78046; Q47637;   Q8FL70;   Q8X9Z5;	acetolactate synthase III    valine sensitive    small subunit
81	cra	2	b0080   cra   ECK0081   fruC   fruR   fruS?   JW0078   serR?   shl	1.8972899913787842	88   028	89   032	1   005	0	1786268	DNA-binding transcriptional repressor-activator for carbon metabolism	P21168;	transcriptional repressor of fru operon and others; GO_component: GO:0005737 - cytoplasm; GO_function: GO:0016563 - transcription activator activity; GO_function: GO:0016564 - transcription repressor activity; GO_process: GO:0006096 - glycolysis; GO_process: GO:0006350 - transcription
23	mafB	2		1.9199999570846558	89   073	89   073	0	0				
82	mraZ	2	b0081   ECK0082   JW0079   yabB	1.9319000244140625	89   634	90   092	459	0	1786269	RsmH methytransferase inhibitor	P22186;	
83	rsmH	2	b0082   ECK0083   JW0080   mraW   yabC	1.9418200254440308	90   094	91   035	942	0	1786270	16S rRNA m(4)C1402 methyltransferase    SAM-dependent	P60390; P18595;   P60391; P18595;   Q8FL68;	putative apolipoprotein; GO_process: GO:0042158 - lipoprotein biosynthetic process
10	110	-1		1.940000057220459	90   394	105   754	15   361	-1				
84	ftsL	1	b0083   ECK0084   JW0081   mraR   pbpB   yabD	1.962030053138733	91   032	91   397	366	0	1786271	membrane bound cell division protein at septum containing leucine zipper motif	P22187; Q8KMX6;	cell division protein; ingrowth of wall at septum
85	ftsI	1	b0084   ECK0085   JW0082   pbpB   sep	1.9702500104904175	91   413	93   179	1   767	0	1786272	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	P04286;   Q8CWE4;	septum formation; penicillin-binding protein 3; peptidoglycan synthetase; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009252 - peptidoglycan biosynthetic process; GO_process: GO:0042493 - response to drug
86	murE	1	b0085   ECK0086   JW0083	2.0080299377441406	93   166	94   653	1   488	0	1786273	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	P22188; O07101;   Q8FL67;   Q8X9Z2;	GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_process: GO:0009252 - peptidoglycan biosynthetic process
87	murF	1	b0086   ECK0087   JW0084   mra	2.0400099754333496	94   650	96   008	1   359	0	1786274	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	P11880; O07100; P77636;   Q8FL66;   Q8X9Z1;	GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009252 - peptidoglycan biosynthetic process; GO_process: GO:0000270 - peptidoglycan metabolic process
88	mraY	1	b0087   ECK0088   JW0085   murX	2.069149971008301	96   002	97   084	1   083	0	1786275	phospho-N-acetylmuramoyl-pentapeptide transferase	P15876;   Q8X9Z0;	phospho-N-acetylmuramoyl-pentapeptide transferase?; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009252 - peptidoglycan biosynthetic process
89	murD	1	b0088   ECK0089   JW0086	2.0925400257110596	97   087	98   403	1   317	0	1786276	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	P14900;   Q8FL65;   Q8X9Y9;	GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009252 - peptidoglycan biosynthetic process
11	111	-1		2.0899999141693115	97   285	118   094	20   810	-1				
90	ftsW	1	b0089   ECK0090   JW0087	2.1208999156951904	98   403	99   647	1   245	0	1786277	lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division	P16457;	cell division; membrane protein involved in shape determination; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane
91	murG	1	b0090   ECK0091   JW0088	2.1476500034332275	99   644	100   711	1   068	0	1786278	N-acetylglucosaminyl transferase	P17443;   Q8FL64;   Q8X9Y8;	GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009252 - peptidoglycan biosynthetic process
